Ⅴ難治性潰瘍,褥瘡,褥瘡,,褥瘡,688
Ⅴ難治性潰瘍,その他の潰瘍,放射線性,,放射線治療後の潰瘍,689
Ⅴ難治性潰瘍,その他の潰瘍,放射線性,,心臓カテーテル治療後の潰瘍,690
Ⅴ難治性潰瘍,その他の潰瘍,放射線性,,その他の放射線性潰瘍,691
Ⅴ難治性潰瘍,その他の潰瘍,血管性,,静脈うっ滞性潰瘍,692
Ⅴ難治性潰瘍,その他の潰瘍,血管性,,末梢動脈閉塞性疾患（PAD）（閉塞性動脈硬化症ASO）,693
Ⅴ難治性潰瘍,その他の潰瘍,血管性,,バージャー病による潰瘍,694
Ⅴ難治性潰瘍,その他の潰瘍,血管性,,Blue toe syndrome（コレステロール塞栓症）,695
Ⅴ難治性潰瘍,その他の潰瘍,血管性,,動静脈奇形による潰瘍,696
Ⅴ難治性潰瘍,その他の潰瘍,血管性,,その他の血管性潰瘍,697
Ⅴ難治性潰瘍,その他の潰瘍,膠原病性,,関節リウマチ（RA）による潰瘍,698
Ⅴ難治性潰瘍,その他の潰瘍,膠原病性,,全身性エリテマトーデス（SLE）による潰瘍,699
Ⅴ難治性潰瘍,その他の潰瘍,膠原病性,,全身性強皮症（PSS）による潰瘍,700
Ⅴ難治性潰瘍,その他の潰瘍,膠原病性,,結節性多発性動脈炎（ANCA関連血管炎）による潰瘍,701
Ⅴ難治性潰瘍,その他の潰瘍,膠原病性,,壊疽性膿皮症,702
Ⅴ難治性潰瘍,その他の潰瘍,膠原病性,,シェーグレン症候群による潰瘍,703
Ⅴ難治性潰瘍,その他の潰瘍,膠原病性,,その他の膠原病性潰瘍,704
Ⅴ難治性潰瘍,その他の潰瘍,神経障害性,,ハンセン病による潰瘍,705
Ⅴ難治性潰瘍,その他の潰瘍,神経障害性,,その他の神経障害性潰瘍,706
Ⅴ難治性潰瘍,その他の潰瘍,代謝性,,糖尿病性潰瘍,707
Ⅴ難治性潰瘍,その他の潰瘍,代謝性,,その他の代謝性潰瘍,708
Ⅴ難治性潰瘍,その他の潰瘍,血液疾患,,真性多血症による潰瘍,709
Ⅴ難治性潰瘍,その他の潰瘍,血液疾患,,白血病による潰瘍,710
Ⅴ難治性潰瘍,その他の潰瘍,血液疾患,,悪性リンパ腫による潰瘍,711
Ⅴ難治性潰瘍,その他の潰瘍,血液疾患,,多発性骨髄腫による潰瘍,712
Ⅴ難治性潰瘍,その他の潰瘍,血液疾患,,その他の血液疾患による潰瘍,713
Ⅴ難治性潰瘍,その他の潰瘍,医原性,,手術後の潰瘍,714
Ⅴ難治性潰瘍,その他の潰瘍,医原性,,薬剤漏出性潰瘍,715
Ⅴ難治性潰瘍,その他の潰瘍,医原性,,薬剤性潰瘍（ハイドロキシウレアなど）,716
Ⅴ難治性潰瘍,その他の潰瘍,感染症,,非定型抗酸菌による潰瘍,717
Ⅴ難治性潰瘍,その他の潰瘍,感染症,,皮膚結核による潰瘍,718
Ⅴ難治性潰瘍,その他の潰瘍,感染症,,深在性真菌症による潰瘍（スポロトリコーシスなど）,719
Ⅴ難治性潰瘍,その他の潰瘍,感染症,,梅毒による潰瘍,720
Ⅴ難治性潰瘍,その他の潰瘍,感染症,,帯状疱疹,721
Ⅴ難治性潰瘍,その他の潰瘍,感染症,,骨髄炎・腐骨（潰瘍・廔孔を伴うもの）,722
Ⅴ難治性潰瘍,その他の潰瘍,感染症,,ガス壊疽,723
Ⅴ難治性潰瘍,その他の潰瘍,感染症,,フルニエ壊疽,724
Ⅴ難治性潰瘍,その他の潰瘍,感染症,,その他の感染症による潰瘍,725
Ⅴ難治性潰瘍,その他の潰瘍,免疫疾患,,慢性膿皮症,726
Ⅴ難治性潰瘍,その他の潰瘍,免疫疾患,,壊死性筋膜炎,727
Ⅴ難治性潰瘍,その他の潰瘍,免疫疾患,,その他の免疫疾患による潰瘍,728
Ⅴ難治性潰瘍,その他の潰瘍,その他の病態,,毛巣洞,729
Ⅴ難治性潰瘍,その他の潰瘍,その他の病態,,異物による潰瘍,730
Ⅴ難治性潰瘍,その他の潰瘍,その他の病態,,Werner症候群による潰瘍,731
Ⅴ難治性潰瘍,その他の潰瘍,その他の病態,,クリオグロブリン血症による潰瘍,732
Ⅴ難治性潰瘍,その他の潰瘍,その他の病態,,Münchhausen syndromeによる潰瘍,733
Ⅴ難治性潰瘍,その他の潰瘍,その他の病態,,その他の原因による潰瘍,734
